Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Tyrosol,7304 +7192,1D3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7304 +7194,1D3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7184,1E3,1E2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7186,1E3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7188,1E3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7190,1E3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7192,1E3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7306 +7194,1E3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7184,1F3,1E2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7186,1F3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7188,1F3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7190,1F3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7192,1F3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7308 +7194,1F3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7184,2H4,1E2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7186,2H4,1F2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7188,2H4,1G2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7190,2H4,1H2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7192,2H4,1A3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4734 +7194,2H4,1B3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7184,2A5,1E2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7186,2A5,1F2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7188,2A5,1G2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7190,2A5,1H2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7192,2A5,1A3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,4735 +7194,2A5,1B3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
